#Time,Rho,X,Z,Alt,AoA,GSE,LUE,Vtot,Vy,Gamma,Pitch,Roll,Yaw,Step,Grade,Points,Details
28.50,0.062,277.2,10.9,97.2,4.10,5.22,-4.21,160.0,-1147.9,3.2,0.1,-9.5,-0.0,IC,WO,1.0,_F_H_OS_X _FHLUL_ DLIM  _FHLUL_IC 
29.00,0.043,243.4,7.9,87.0,4.30,5.96,-4.27,158.5,-1290.1,2.4,-0.2,-7.5,-0.0,IC,WO,1.0,_F_H_OS_X _FHLUL_ DLIM  _FHLUL_IC 
29.50,0.025,210.0,4.5,75.9,5.87,6.94,-4.50,157.1,-1374.8,1.7,0.9,-4.2,-0.0,AR,WO,1.0,_F_H_OS_X _FHLUL_ DLIM  _FHLUL_IC 
30.00,0.008,177.0,1.1,64.5,7.24,8.52,-4.98,155.4,-1370.5,1.1,2.2,-3.6,-0.0,AR,WO,1.0,_F_H_OS_X _FHLUL_ DLIM  _FHLUL_IC _FHLUL_AR
30.50,-0.011,144.4,-2.5,53.2,7.31,11.72,-6.13,153.7,-1345.1,0.8,2.3,-3.6,-0.0,AR,WO,1.0,_F_H_OS_X _FHLUL_ DLIM  _FHLUL_IC _FHLUL_AR
31.00,-0.028,112.3,-6.2,41.9,7.63,21.48,-10.31,152.2,-1379.1,0.5,2.5,-3.7,-0.0,AR,WO,1.0,_F_H_OS_X _FHLUL_ DLIM  _FHLUL_IC _FHLUL_AR
31.50,-0.045,80.5,-10.0,30.5,9.56,52.93,-143.96,151.3,-1367.9,0.4,4.5,-3.3,-0.0,AR,WO,1.0,_F_H_OS_X _FHLUL_ DLIM  _FHLUL_IC _FHLUL_AR
32.00,-0.063,48.9,-14.0,19.8,11.32,5.76,-176.04,151.3,-1237.7,0.6,6.8,-2.8,-0.0,AR,WO,1.0,_F_H_OS_X _FHLUL_ DLIM  _FHLUL_IC _FHLUL_AR
32.50,-0.080,17.0,-18.2,10.5,11.21,-0.84,-178.65,152.7,-991.7,0.9,7.6,-2.0,-0.0,AR,WO,1.0,_F_H_OS_X _FHLUL_ DLIM  _FHLUL_IC _FHLUL_AR
33.00,-0.098,-15.3,-22.6,3.5,9.87,-2.90,-179.55,155.2,-683.4,1.3,7.4,-1.3,-0.0,AR,WO,1.0,_F_H_OS_X _FHLUL_ DLIM  _FHLUL_IC _FHLUL_AR
33.50,-0.116,-48.4,-27.1,0.5,4.71,-3.44,-179.99,157.9,44.7,1.5,4.9,-0.2,-0.0,AR,WO,1.0,_F_H_OS_X _FHLUL_ DLIM  _FHLUL_IC _FHLUL_AR
34.00,-0.134,-82.4,-31.7,0.5,0.37,-3.45,179.72,162.5,-19.3,1.9,0.3,-0.3,-0.0,AR,WO,1.0,_F_H_OS_X _FHLUL_ DLIM  _FHLUL_IC _FHLUL_AR
34.50,-0.153,-117.6,-36.5,-1.2,4.09,-3.60,179.52,167.9,-374.4,2.0,2.8,-0.4,-0.0,AR,WO,1.0,_F_H_OS_X _FHLUL_ DLIM  _FHLUL_IC _FHLUL_AR
35.00,-0.173,-154.2,-41.4,-2.9,12.95,-3.71,179.38,172.0,-97.9,1.8,12.6,-0.3,-0.0,AR,WO,1.0,_F_H_OS_X _FHLUL_ DLIM  _FHLUL_IC _FHLUL_AR
35.50,-0.194,-191.5,-46.5,-0.1,13.49,-3.51,179.27,173.9,706.9,1.6,15.8,-0.1,-0.0,AR,WO,1.0,_F_H_OS_X _FHLUL_ DLIM  _FHLUL_IC _FHLUL_AR
