#Time,Rho,X,Z,Alt,AoA,GSE,LUE,Vtot,Vy,Gamma,Pitch,Roll,Yaw,Step,Grade,Points,Details
0.00,1.188,2363.0,64.0,286.7,8.05,-1.30,-7.39,179.8,181.3,63.8,6.8,-40.6,-0.0,X0,OK,4.0,    
0.50,1.180,2346.6,103.7,287.8,8.41,-1.28,-6.37,178.6,86.7,61.1,6.8,-41.5,-0.0,X0,OK,4.0,    
1.00,1.172,2328.7,142.2,288.3,9.08,-1.26,-5.37,177.5,21.9,58.2,7.2,-40.7,-0.0,X0,OK,4.0,    
1.50,1.163,2309.2,179.4,288.4,9.19,-1.24,-4.38,177.4,16.6,55.7,7.3,-39.4,-0.0,X0,OK,4.0,    
2.00,1.153,2288.0,215.5,288.6,9.09,-1.23,-3.40,178.2,29.7,53.3,7.3,-38.7,-0.0,X0,OK,4.0,    
2.50,1.143,2265.2,250.5,289.0,9.17,-1.20,-2.44,179.0,53.8,50.6,7.4,-38.9,-0.0,X0,OK,4.0,    
3.00,1.132,2240.8,284.4,289.6,9.90,-1.18,-1.47,179.6,85.3,47.4,7.9,-40.3,-0.0,X0,OK,4.0,    
3.50,1.121,2214.8,316.8,290.6,11.02,-1.15,-0.53,179.9,138.7,43.4,8.6,-43.4,-0.0,X0,OK,4.0,    
4.00,1.108,2187.1,347.6,291.9,11.49,-1.11,0.40,179.9,176.3,39.6,8.7,-46.7,-0.0,X0,OK,4.0,    
4.50,1.096,2157.9,376.4,293.4,11.75,-1.07,1.31,179.8,161.8,35.8,8.5,-49.7,-0.0,X0,OK,4.0,    
5.00,1.082,2127.0,403.1,294.5,12.14,-1.03,2.18,179.7,108.4,31.8,8.3,-52.1,-0.0,X0,OK,4.0,    
5.50,1.067,2094.7,427.4,295.1,12.35,-1.00,3.02,179.5,29.1,27.8,7.9,-53.6,-0.0,X0,OK,4.0,    
6.00,1.052,2060.9,449.2,294.9,12.50,-0.96,3.83,179.3,-73.3,23.9,7.5,-54.3,-0.0,X0,OK,4.0,    
6.50,1.036,2025.8,468.3,293.8,12.66,-0.93,4.59,179.4,-171.6,20.0,7.2,-53.8,-0.0,X0,OK,4.0,    
7.00,1.019,1989.5,484.7,292.0,12.85,-0.91,5.30,180.5,-231.2,16.1,7.3,-51.9,-0.0,X0,OK,4.0,    
7.50,1.002,1951.9,498.4,290.2,13.03,-0.88,5.97,182.0,-220.4,12.2,7.5,-51.6,-0.0,X0,OK,4.0,    
8.00,0.983,1913.0,509.2,288.4,12.79,-0.85,6.59,183.9,-198.4,8.4,7.2,-53.1,-0.0,X0,OK,4.0,    
8.50,0.964,1872.9,516.9,286.7,12.59,-0.81,7.16,186.3,-211.8,4.3,6.7,-55.4,-0.0,X0,OK,4.0,    
9.00,0.943,1831.8,521.4,284.8,13.00,-0.78,7.65,188.8,-241.4,0.3,6.6,-57.2,-0.0,X0,OK,4.0,    
9.50,0.922,1789.9,522.3,282.7,13.14,-0.74,8.07,191.3,-267.8,4.9,6.4,-58.4,-0.0,X0,OK,4.0,    
10.00,0.899,1747.4,519.4,280.3,12.47,-0.69,8.39,193.9,-298.5,8.8,5.9,-58.8,-0.0,X0,OK,4.0,    
10.50,0.876,1704.5,512.6,277.5,10.73,-0.65,8.61,196.9,-348.3,11.1,5.5,-54.8,-0.0,X0,OK,4.0,    
11.00,0.852,1661.3,502.2,274.7,9.21,-0.61,8.72,200.8,-284.3,12.5,5.8,-46.4,-0.0,X0,OK,4.0,    
11.50,0.828,1617.9,488.7,273.1,8.68,-0.54,8.74,204.7,-89.4,14.7,6.4,-41.2,-0.0,X0,OK,4.0,    
12.00,0.802,1574.3,472.3,273.5,7.90,-0.45,8.66,208.0,169.9,16.7,6.7,-38.2,-0.0,X0,OK,4.0,    
12.50,0.777,1530.7,453.4,275.7,6.21,-0.33,8.48,211.1,354.4,17.6,6.1,-33.1,-0.0,X0,OK,4.0,    
13.00,0.751,1487.1,432.3,279.2,5.25,-0.18,8.21,214.0,494.1,17.8,6.1,-22.4,-0.0,X0,OK,4.0,    
13.50,0.725,1443.6,409.9,284.1,4.92,-0.01,7.87,214.7,680.9,18.4,6.5,-17.6,-0.0,XX,OK,4.0,    
14.00,0.699,1400.5,386.8,290.2,2.80,0.19,7.47,213.5,748.1,18.5,4.7,-13.5,-0.0,XX,--,2.0,_FOS_X    
14.50,0.673,1358.1,363.3,295.4,1.09,0.39,7.02,211.6,530.3,18.4,2.4,-7.9,-0.0,XX,--,2.0,_FOS_X    
15.00,0.648,1316.2,339.8,298.8,1.90,0.57,6.54,209.7,300.6,18.7,2.6,-4.1,-0.0,XX,--,2.0,_FOS_X    
15.50,0.623,1274.8,316.4,300.9,1.48,0.75,6.01,207.8,214.5,18.8,2.0,-0.2,-0.0,XX,--,2.0,_F_(H)_OS_X    
16.00,0.599,1233.8,293.2,301.5,-0.51,0.93,5.44,206.0,-77.1,18.7,-0.7,9.5,-0.0,XX,--,2.0,_F_(H)_OS_X    
16.50,0.574,1193.1,270.4,299.0,0.30,1.06,4.85,204.2,-478.4,18.2,-1.0,10.0,-0.0,XX,--,2.0,_F_H_OS_X    
17.00,0.550,1152.8,248.1,294.1,1.47,1.17,4.23,202.3,-679.4,17.6,-0.3,13.9,-0.0,XX,--,2.0,_F_H_OS_X    
17.50,0.526,1112.6,226.4,287.7,1.90,1.26,3.59,200.4,-858.2,16.7,-0.4,22.1,-0.0,XX,--,2.0,_F_H_OS_X    
18.00,0.503,1072.7,205.6,279.9,2.46,1.33,2.94,198.6,-1022.1,15.5,-0.4,24.2,-0.0,XX,--,2.0,_F_H_OS_X    
18.50,0.480,1032.8,185.9,270.8,2.99,1.38,2.29,196.8,-1151.2,14.1,-0.4,24.6,-0.0,IM,--,2.0,_F_H_OS_X    
19.00,0.456,992.9,167.3,260.8,3.67,1.41,1.65,195.1,-1244.0,12.6,-0.1,24.8,-0.0,IM,--,2.0,_F_H_OS_X _F_HLURIM   
19.50,0.434,953.2,149.8,250.3,4.49,1.44,1.02,193.4,-1276.7,10.9,0.4,24.9,-0.0,IM,--,2.0,_F_H_OS_X _F_HLURIM   
20.00,0.411,913.4,133.6,239.7,4.83,1.47,0.40,191.6,-1267.6,9.4,0.7,25.0,-0.0,IM,--,2.0,_F_H_OS_X _F_HLURIM   
20.50,0.389,873.7,118.5,229.2,5.57,1.50,-0.19,189.9,-1255.2,7.7,1.4,23.4,-0.0,IM,--,2.0,_F_H_OS_X _F_HLURIM   
21.00,0.366,834.1,104.7,219.2,6.22,1.54,-0.76,188.0,-1150.3,6.2,2.2,22.4,-0.0,IM,--,2.0,_F_H_OS_X _F_HLUR (DL)IM   
21.50,0.344,794.7,92.1,210.0,5.98,1.61,-1.30,186.0,-1056.8,4.8,2.3,23.2,-0.0,IM,--,2.0,_F_H_OS_X _FH_LUR DLIM   
22.00,0.322,755.4,80.7,201.5,6.11,1.69,-1.80,184.0,-1003.1,3.6,2.6,22.5,-0.0,IM,--,2.0,_F_H_OS_X _FH_LUR DLIM   
22.50,0.301,716.5,70.5,193.5,6.15,1.80,-2.26,182.0,-917.2,2.6,2.9,20.3,-0.0,IM,--,2.0,_F_H_OS_X _FH_LUR DLIM   
23.00,0.280,677.8,61.4,186.1,5.17,1.93,-2.69,179.9,-866.7,2.0,2.2,18.9,-0.0,IM,--,2.0,_F_H_OS_X _FH_LUR DLIM   
23.50,0.259,639.4,53.2,178.7,4.90,2.08,-3.08,178.0,-888.9,1.2,1.8,17.9,-0.0,IM,--,2.0,_F_H_OS_X _FH_LUL DLIM   
24.00,0.238,601.4,45.9,171.3,5.28,2.24,-3.44,176.2,-894.5,0.2,2.1,18.2,-0.0,IM,--,2.0,_F_H_OS_X _FHLUL_ DLIM   
24.50,0.217,563.8,39.4,163.9,5.18,2.43,-3.76,174.2,-888.4,0.8,2.1,18.4,-0.0,IC,WO,1.0,_F_H_OS_X _FHLUL_ DLIM  _FHLUL_IC 
25.00,0.197,526.5,33.8,156.4,4.93,2.63,-4.03,172.4,-917.7,1.7,1.7,17.7,-0.0,IC,WO,1.0,_F_H_OS_X _FHLUL_ DLIM  _FHLUL_IC 
25.50,0.177,489.6,29.0,148.5,5.32,2.86,-4.24,170.6,-958.4,2.7,2.0,16.1,-0.0,IC,WO,1.0,_F_H_OS_X _FHLUL_ DLIM  _FHLUL_IC 
26.00,0.157,453.2,25.0,140.6,5.63,3.11,-4.38,168.7,-954.8,3.6,2.2,14.2,-0.0,IC,WO,1.0,_F_H_OS_X _FHLUL_ DLIM  _FHLUL_IC 
26.50,0.137,417.1,21.6,132.6,4.84,3.41,-4.44,166.9,-961.3,4.1,1.5,10.7,-0.0,IC,WO,1.0,_F_H_OS_X _FHLUL_ DLIM  _FHLUL_IC 
27.00,0.118,381.5,18.8,124.2,4.52,3.75,-4.42,165.2,-1036.9,4.4,0.9,5.2,-0.0,IC,WO,1.0,_F_H_OS_X _FHLUL_ DLIM  _FHLUL_IC 
27.50,0.099,346.2,16.3,115.4,5.35,4.14,-4.34,163.6,-1078.0,4.4,1.6,-2.7,-0.0,IC,WO,1.0,_F_H_OS_X _FHLUL_ DLIM  _FHLUL_IC 
28.00,0.080,311.5,13.7,106.5,5.12,4.62,-4.25,161.7,-1075.4,3.8,1.4,-7.6,-0.0,IC,WO,1.0,_F_H_OS_X _FHLUL_ DLIM  _FHLUL_IC 
